Date,Open,High,Low,Close,Adj Close,Volume
2019-06-26,260.880005,262.649994,259.989990,261.299988,254.191666,3869400
2019-06-27,262.440002,263.579987,260.399994,261.100006,253.997131,2186900
2019-06-28,263.089996,264.839996,261.329987,264.529999,257.333862,4400300
2019-07-01,269.989990,269.989990,264.869995,266.769989,259.512848,2646800
2019-07-02,266.880005,270.600006,266.429993,270.570007,263.209503,2649100
2019-07-03,271.000000,273.079987,270.779999,273.079987,265.651245,1896800
2019-07-05,271.500000,272.769989,269.089996,272.140015,264.736816,2561000
2019-07-08,270.100006,272.070007,269.459991,271.230011,264.171814,2291700
2019-07-09,269.820007,273.649994,269.500000,273.339996,266.227020,2477400
2019-07-10,274.170013,277.100006,274.149994,275.380005,268.213928,2323000
2019-07-11,277.600006,278.649994,276.079987,278.320007,271.077362,2583900
2019-07-12,279.239990,279.739990,276.260010,279.540009,272.265656,2299700
2019-07-15,280.459991,280.589996,278.549988,279.369995,272.100067,3349500
2019-07-16,279.000000,280.630005,275.309998,276.619995,269.421631,2976000
2019-07-17,277.390015,278.470001,275.269989,275.279999,268.116547,2318900
2019-07-18,275.000000,277.250000,274.739990,276.779999,269.577484,3241000
2019-07-19,279.429993,279.480011,275.420013,275.600006,268.428223,3048200
2019-07-22,276.910004,279.359985,276.070007,278.609985,271.359863,2092400
2019-07-23,280.000000,280.420013,276.899994,278.970001,271.710480,2275400
2019-07-24,278.170013,280.299988,276.380005,280.250000,272.957184,2805200
2019-07-25,280.000000,280.899994,277.549988,279.350006,272.080597,2312200
2019-07-26,280.600006,282.290009,280.079987,282.070007,274.729767,2942100
2019-07-29,283.119995,283.329987,280.429993,281.440002,274.116150,3677700
2019-07-30,279.339996,282.369995,275.450012,278.160004,270.921539,3957900
2019-07-31,278.670013,278.980011,265.690002,272.269989,265.184814,5513100
2019-08-01,273.929993,279.309998,271.640015,274.160004,267.025635,4988100
2019-08-02,272.000000,272.500000,265.679993,269.450012,262.438263,4438000
2019-08-05,260.000000,262.649994,253.899994,256.839996,250.156311,6861300
2019-08-06,261.799988,265.149994,260.179993,264.679993,257.792358,4918500
2019-08-07,263.399994,270.000000,260.250000,269.309998,262.301849,4476000
2019-08-08,272.000000,278.079987,271.600006,278.040009,270.804688,4135500
2019-08-09,275.510010,276.899994,273.079987,274.950012,267.795166,3410500
2019-08-12,272.850006,274.980011,268.890015,270.000000,262.973907,3322600
2019-08-13,269.829987,275.369995,268.000000,274.529999,267.385956,3899800
2019-08-14,269.820007,272.470001,265.850006,267.149994,260.198029,3750300
2019-08-15,269.279999,273.149994,268.089996,271.890015,264.814758,3364300
2019-08-16,274.980011,275.959991,273.790009,274.359985,267.220367,2718100
2019-08-19,277.000000,278.570007,275.209991,278.070007,270.833923,2502300
2019-08-20,278.399994,279.559998,275.850006,277.040009,269.830750,2583600
2019-08-21,279.640015,282.100006,279.290009,282.010010,274.671387,2492200
2019-08-22,282.109985,282.890015,276.760010,280.769989,273.463593,2975800
